episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
73,-7.2,29,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0289999999999968,29,0.985152
74,-7.2,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0289999999999968,29,0.985152
75,-7.229999999999999,29,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0289999999999968,29,0.985152
76,-7.199999999999999,29,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_complex_4,1.0289999999999968,29,0.985152
77,-7.17,29,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_complex_6,1.0289999999999968,29,0.985152
78,-7.199999999999999,29,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0289999999999968,29,0.985152
79,-7.199999999999999,29,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0289999999999968,29,0.985152
80,-7.25,29,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_10,1.0289999999999968,29,0.985152
81,-7.199999999999999,29,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0289999999999968,29,0.985152
82,-7.239999999999999,29,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0289999999999968,29,0.985152
83,-7.179999999999999,29,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0289999999999968,29,0.985152
84,-7.219999999999999,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0289999999999968,29,0.985152
85,-7.209999999999999,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,hard,hard_complex_8,1.0289999999999968,29,0.985152
86,-7.199999999999999,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0289999999999968,29,0.985152
87,-7.159999999999999,29,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.0289999999999968,29,0.985152
88,-7.1899999999999995,29,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0289999999999968,29,0.985152
89,-7.209999999999999,29,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.0289999999999968,29,0.985152
90,-7.159999999999998,29,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_sides_A,1.0289999999999968,29,0.985152
91,-7.199999999999999,29,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0289999999999968,29,0.985152
92,-7.169999999999999,29,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_sides_A,1.0289999999999968,29,0.985152
93,-7.239999999999999,29,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0289999999999968,29,0.985152
94,-7.199999999999999,29,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0289999999999968,29,0.985152
95,-7.089999999999999,30,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0299999999999967,30,0.98464
96,-7.109999999999999,30,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0299999999999967,30,0.98464
97,-7.16,30,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0299999999999967,30,0.98464
98,-7.09,30,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_7,1.0299999999999967,30,0.98464
99,-7.1,30,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0299999999999967,30,0.98464
100,-7.17,30,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0299999999999967,30,0.98464
101,-7.119999999999999,30,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0299999999999967,30,0.98464
102,-7.1,30,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0299999999999967,30,0.98464
103,-7.13,30,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0299999999999967,30,0.98464
104,-7.09,30,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0299999999999967,30,0.98464
105,-7.119999999999999,30,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.0299999999999967,30,0.98464
106,-7.140000000000001,30,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0299999999999967,30,0.98464
107,-7.08,30,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0299999999999967,30,0.98464
108,-7.089999999999999,30,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0299999999999967,30,0.98464
109,-7.119999999999999,30,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.0299999999999967,30,0.98464
110,-7.16,30,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0299999999999967,30,0.98464
111,-7.009999999999999,31,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0309999999999966,31,0.984128
112,-7.02,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_6,1.0309999999999966,31,0.984128
113,-7.01,31,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_sides_A,1.0309999999999966,31,0.984128
114,-7.029999999999999,31,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,medium,medium_sides_B,1.0309999999999966,31,0.984128
115,-7.039999999999999,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0309999999999966,31,0.984128
116,-7.029999999999999,31,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0309999999999966,31,0.984128
117,-7.07,31,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0309999999999966,31,0.984128
118,-7.009999999999999,31,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0309999999999966,31,0.984128
119,-7.029999999999999,31,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0309999999999966,31,0.984128
120,-7.01,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0309999999999966,31,0.984128
121,-7.069999999999999,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0309999999999966,31,0.984128
122,-6.999999999999999,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0309999999999966,31,0.984128
123,-7.01,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0309999999999966,31,0.984128
124,-7.02,31,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_mixed_LR,1.0309999999999966,31,0.984128
125,-7.050000000000001,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0309999999999966,31,0.984128
126,-7.029999999999999,31,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0309999999999966,31,0.984128
127,-7.03,31,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,hard,hard_all_A,1.0309999999999966,31,0.984128
128,-6.8999999999999995,32,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_left_center,1.0319999999999965,32,0.983616
129,-6.92,32,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0319999999999965,32,0.983616
130,-6.949999999999999,32,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0319999999999965,32,0.983616
131,-6.969999999999999,32,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0319999999999965,32,0.983616
132,-6.93,32,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,hard,hard_complex_9,1.0319999999999965,32,0.983616
133,-6.9799999999999995,32,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0319999999999965,32,0.983616
134,-6.949999999999999,32,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0319999999999965,32,0.983616
135,-6.899999999999999,32,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_complex_4,1.0319999999999965,32,0.983616
136,-6.960000000000001,32,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0319999999999965,32,0.983616
137,-5.779999999999999,33,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0329999999999964,33,0.983104
138,-5.880000000000001,33,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0329999999999964,33,0.983104
139,-5.81,33,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0329999999999964,33,0.983104
140,-4.83,33,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_complex_2,1.0329999999999964,33,0.983104
141,-5.8500000000000005,33,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0329999999999964,33,0.983104
142,-5.779999999999999,33,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0329999999999964,33,0.983104
143,-4.84,33,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0329999999999964,33,0.983104
144,-5.85,33,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0329999999999964,33,0.983104
145,-5.85,33,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0329999999999964,33,0.983104
146,-5.839999999999999,33,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.0329999999999964,33,0.983104
147,-5.829999999999999,33,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0329999999999964,33,0.983104
148,-5.880000000000001,33,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0329999999999964,33,0.983104
149,-5.83,33,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0329999999999964,33,0.983104
150,-5.83,33,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,easy,easy_center_B,1.0329999999999964,33,0.983104
151,-5.799999999999999,33,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0329999999999964,33,0.983104
152,-5.81,33,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.0329999999999964,33,0.983104
153,-5.829999999999999,33,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0329999999999964,33,0.983104
154,-7.319999999999999,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.970816
155,-7.319999999999999,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_8,1.027999999999997,28,0.970816
