episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
87,-7.320000171661377,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
88,-7.12000036239624,30,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.0299999999999967,30,
89,-7.12000036239624,30,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0299999999999967,30,
90,-7.1700005531311035,30,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0299999999999967,30,
91,-7.030000686645508,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0309999999999966,31,
92,-5.8600006103515625,33,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0329999999999964,33,
93,-7.320000171661377,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_sides_A,1.027999999999997,28,
94,-3.8700008392333984,33,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_left_center,1.0329999999999964,33,
95,-0.6999973058700562,76,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,hard,hard_complex_10,1.0759999999999916,76,
96,-1.7500001192092896,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0759999999999916,76,
97,-7.400000095367432,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,medium,medium_left_center,1.027999999999997,28,
98,-0.6799978017807007,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0759999999999916,76,
99,-0.5999957919120789,77,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.0769999999999915,77,
100,-0.7299968600273132,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.0759999999999916,76,
101,-1.74000084400177,76,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,hard,hard_complex_3,1.0759999999999916,76,
102,0.3600059449672699,77,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_mixed_LR,1.0769999999999915,77,
103,-7.360000133514404,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,hard,hard_all_A,1.027999999999997,28,
104,-7.320000171661377,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
105,-7.12000036239624,30,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0299999999999967,30,
106,-7.330000400543213,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_8,1.027999999999997,28,
107,-7.130000591278076,30,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0299999999999967,30,
108,-1.519999623298645,78,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0779999999999914,78,
109,-1.3599990606307983,79,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_left_center,1.0789999999999913,79,
